NacionalidadeEmbarcacao;Ano Acordo Bilateral;Total Acordo Bilateral;AcordoTipoNavegacao;País;FlagEmbarqueDesembarque
Estrangeiras;2014;13046217;972;Longo Curso;CHINA;1
Não Informado;2014;391251;663;Longo Curso;CHINA;1
Estrangeiras;2014;2524333;4690001;Longo Curso;ALEMANHA;1
Não Informado;2014;94302;914;Longo Curso;ALEMANHA;1
Brasilieiras;2014;177380;503;Longo Curso;ALEMANHA;1
Estrangeiras;2014;2366186;398;Longo Curso;ARGÉLIA;1
Não Informado;2014;5249;14;Longo Curso;ARGÉLIA;1
Brasilieiras;2014;759880;585;Longo Curso;ARGÉLIA;1
Estrangeiras;2014;691441;105;Longo Curso;FRANÇA;1
Brasilieiras;2014;106265;512;Longo Curso;FRANÇA;1
Não Informado;2014;9380;234;Longo Curso;FRANÇA;1
Estrangeiras;2014;219665;032;Longo Curso;POLÔNIA;1
Brasilieiras;2014;6616;224;Longo Curso;POLÔNIA;1
Não Informado;2014;13497;924;Longo Curso;POLÔNIA;1
Estrangeiras;2014;777681;60799998;Longo Curso;PORTUGAL;1
Brasilieiras;2014;179430;627;Longo Curso;PORTUGAL;1
Não Informado;2014;179;49;Longo Curso;PORTUGAL;1
Estrangeiras;2014;18996;526;Longo Curso;ROMÊNIA;1
Brasilieiras;2014;1122;499;Longo Curso;ROMÊNIA;1
Não Informado;2014;1125;6;Longo Curso;ROMÊNIA;1
Não Informado;2014;199639;373;Longo Curso;RUSSIA;1
Estrangeiras;2014;4315614;236;Longo Curso;RUSSIA;1
Brasilieiras;2014;235889;239;Longo Curso;RUSSIA;1
Brasilieiras;2014;1693617;266;Longo Curso;ESTADOS UNIDOS;1
Estrangeiras;2014;28529530;027999;Longo Curso;ESTADOS UNIDOS;1
Não Informado;2014;393731;278;Longo Curso;ESTADOS UNIDOS;1
Estrangeiras;2014;1596758;511;Longo Curso;URUGUAI;1
Brasilieiras;2014;203726;872;Longo Curso;URUGUAI;1
Brasilieiras;2014;9798;43;Interior;URUGUAI;1
Estrangeiras;2014;16388;68;Interior;URUGUAI;1
Não Informado;2014;82092;724;Longo Curso;URUGUAI;1
Estrangeiras;2014;7119530;2859999;Longo Curso;ARGENTINA;2
Brasilieiras;2014;923981;37400001;Longo Curso;ARGENTINA;2
Estrangeiras;2014;6773922;Interior;ARGENTINA;2
Não Informado;2014;22172;61;Longo Curso;ARGENTINA;2
Brasilieiras;2014;221699;Interior;ARGENTINA;2
